Order_ID,Order_Date,Customer_ID,Category,Product,Quantity,Unit_Price,Discount,Region
1001,2025-01-05,C001,Electronics,Headphones,2,45,0.10,North
1002,2025-01-12,C002,Home,Desk Lamp,1,35,0.00,South
1003,2025-01-18,C003,Fashion,T-Shirt,3,22,0.05,East
1004,2025-02-03,C001,Electronics,Keyboard,1,70,0.15,North
1005,2025-02-11,C004,Beauty,Skincare Set,2,30,0.10,West
1006,2025-02-20,C005,Home,Coffee Maker,1,85,0.00,South
1007,2025-03-02,C006,Fashion,Jeans,2,55,0.05,East
1008,2025-03-15,C002,Electronics,Mouse,3,25,0.00,North
1009,2025-03-22,C007,Beauty,Face Cream,1,28,0.10,West
1010,2025-04-04,C008,Home,Cushion,2,18,0.05,South
1011,2025-04-12,C009,Fashion,Sneakers,1,75,0.15,East
1012,2025-04-25,C003,Electronics,Monitor,1,240,0.10,North
1013,2025-05-06,C010,Beauty,Shampoo,3,20,0.00,West
1014,2025-05-14,C011,Home,Table Organizer,2,32,0.05,South
1015,2025-05-28,C012,Fashion,Jacket,1,90,0.10,East
1016,2025-06-07,C004,Electronics,Webcam,2,65,0.00,North
1017,2025-06-16,C013,Beauty,Perfume,1,60,0.15,West
1018,2025-06-23,C014,Home,Vacuum Cleaner,1,150,0.05,South
1019,2025-07-03,C015,Fashion,Dress,2,80,0.10,East
1020,2025-07-18,C005,Electronics,Tablet,1,320,0.20,North
1021,2025-01-28,C016,Electronics,Bluetooth Speaker,2,58,0.08,West
1022,2025-02-06,C017,Home,Air Fryer,1,120,0.12,North
1023,2025-02-18,C018,Fashion,Running Shoes,2,68,0.20,East
1024,2025-03-05,C019,Beauty,Hair Dryer,1,42,0.05,South
1025,2025-03-19,C020,Electronics,Wireless Charger,3,18,0.00,West
1026,2025-04-08,C021,Home,Storage Bin,4,14,0.10,North
1027,2025-04-15,C022,Fashion,Sunglasses,1,40,0.25,East
1028,2025-04-30,C023,Beauty,Body Lotion,2,26,0.05,South
1029,2025-05-09,C024,Electronics,Laptop Stand,1,55,0.00,West
1030,2025-05-20,C025,Home,Throw Blanket,2,36,0.15,North
1031,2025-06-04,C026,Fashion,Coat,1,125,0.10,East
1032,2025-06-14,C027,Beauty,Face Serum,2,33,0.18,South
1033,2025-06-28,C028,Electronics,Smart Watch,1,210,0.05,West
1034,2025-07-08,C029,Home,Dining Set,1,180,0.20,North
1035,2025-07-22,C030,Fashion,Hoodie,3,48,0.10,East
1036,2025-08-02,C001,Beauty,Sunscreen,2,22,0.00,West
1037,2025-08-07,C003,Electronics,Camera,1,310,0.15,North
1038,2025-08-13,C006,Home,Bedding Set,2,72,0.12,South
1039,2025-08-19,C009,Fashion,Sandals,3,29,0.05,East
1040,2025-08-25,C022,Electronics,Gaming Mouse,2,52,0.08,West
1041,2025-08-28,C010,Beauty,Nail Kit,1,19,0.00,North
1042,2025-09-03,C014,Home,Plant Pot,3,16,0.10,South
1043,2025-09-10,C019,Fashion,Polo Shirt,2,35,0.05,East
1044,2025-09-16,C024,Electronics,USB Hub,4,24,0.10,West
1045,2025-09-21,C017,Beauty,Lip Balm,5,9,0.00,North
1046,2025-09-26,C028,Home,Wall Clock,1,28,0.15,South
1047,2025-10-01,C016,Electronics,Headphones,1,45,0.10,West
1048,2025-10-04,C016,Electronics,Keyboard,1,70,0.15,West
1049,2025-10-07,C016,Electronics,Mouse,2,25,0.00,West
1050,2025-10-09,C024,Electronics,Headphones,1,45,0.05,West
1051,2025-10-12,C024,Electronics,Keyboard,1,70,0.10,West
1052,2025-10-15,C024,Electronics,Webcam,1,65,0.00,West
1053,2025-10-18,C018,Fashion,T-Shirt,2,22,0.10,East
1054,2025-10-20,C018,Fashion,Jeans,1,55,0.05,East
1055,2025-10-23,C018,Fashion,Sneakers,1,75,0.15,East
1056,2025-10-25,C022,Fashion,T-Shirt,2,22,0.05,East
1057,2025-10-28,C022,Fashion,Sunglasses,1,40,0.20,East
1058,2025-10-30,C022,Fashion,Sneakers,1,75,0.10,East
