Order_ID,Order_Date,Customer_ID,Category,Product,Quantity,Unit_Price,Discount,Region
1001,2025-01-05,C001,Electronics,Headphones,2,45,0.10,North
1002,2025-01-01,C002,Home,Desk Lamp,1,35,0.00,South
1003,2025-01-18,C003,Fashion,T-Shirt,3,22,0.05,East
1004,2025-02-03,C001,Electronics,Keyboard,1,70,0.15,North
1005,2025-02-11,C004,Beauty,Skincare Set,2,30,0.10,West
1006,2025-02-20,C005,Home,Coffee Maker,1,85,0.00,South
1007,2025-03-02,C006,Fashion,Jeans,2,55,0.05,East
1008,2025-03-15,C002,Electronics,Mouse,3,25,0.00,North
1009,2025-03-22,C007,Beauty,Face Cream,1,28,0.10,West
1010,2025-04-04,C008,Home,Cushion,2,18,0.05,South
1011,2025-04-12,C009,Fashion,Sneakers,1,75,0.15,East
1012,2025-04-25,C003,Electronics,T-Shirt,1,240,0.10,North
1013,2025-05-06,C010,Beauty,Shampoo,3,20,0.00,West
1014,2025-05-14,C011,Home,Table Organizer,2,32,0.05,South
1015,2025-05-28,C012,Fashion,Jacket,1,90,0.10,East
1016,2025-06-07,C004,Electronics,Webcam,2,65,0.00,North
1017,2025-06-16,C013,Beauty,Perfume,1,60,0.15,West
1018,2025-06-23,C014,Home,Vacuum Cleaner,1,150,0.05,South
1019,2025-07-03,C015,Fashion,Dress,2,80,0.10,East
1020,2025-07-18,C005,Electronics,Coffee Maker,1,320,0.20,North
