Temperature,PM2.5,PM10,AQI
20,10,20,25
22,15,30,35
25,20,40,45
28,35,60,70
30,45,80,85
32,60,100,105
35,75,120,130
27,30,55,65
24,18,35,40
31,55,90,95
29,40,70,80
26,25,45,55
33,70,110,120
36,85,140,150
23,12,25,30
21,8,15,20
34,65,105,115
30,50,85,100
28,32,58,72
25,22,42,50
27,28,50,60
29,38,68,78
31,48,82,92
33,58,98,110
35,72,118,128
26,16,32,38
24,14,28,34
22,11,22,28
30,42,75,88
32,52,88,98
34,68,108,118
36,80,135,145
28,26,48,58
25,19,38,46
23,9,18,23
21,7,14,18
27,34,62,68
29,46,78,86
31,62,102,108
33,76,125,135
